;year;;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022
;quartal;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal
in jeweiligen Preisen (Mrd. EUR);Bruttowertsch�pfung;jew. ME;696421;703035;706.18;711014;719828;732.47;743554;751991;750065;759405;759988;770278;777269;779809;786447;793008;783672;706288;772.87;780204;781.9;791516;822144;822322;830125;...;...;...
in jeweiligen Preisen (Mrd. EUR);G�tersteuern abz�gl. G�tersubventionen;jew. ME;77935;77255;78098;78977;81819;80226;80014;81095;83249;82948;83074;83336;85615;84528;86548;85988;83.4;79178;75986;78626;76349;84061;88792;94901;94936;...;...;...
in jeweiligen Preisen (Mrd. EUR);     G�tersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
in jeweiligen Preisen (Mrd. EUR);     G�tersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
in jeweiligen Preisen (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;774356;780.29;784278;789991;801647;812696;823568;833086;833314;842353;843062;853614;862884;864337;872995;878996;867072;785466;848856;858.83;858249;875577;910936;917223;925061;...;...;...
in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Ver�nderung in %);Prozent;1.3;0.8;0.5;0.7;1.5;1.4;1.3;1.2;0;1.1;0.1;1.3;1.1;0.2;1;0.7;-1.4;-9.4;8.1;1.2;-0.1;2;4;0.7;0.9;...;...;...
in jeweiligen Preisen (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;9418;9479;9519;9580;9711;9834;9959;10069;10062;10165;10165;10285;10391;10404;10504;10572;10425;9446;10208;10328;10320;10527;10948;11018;11114;...;...;...
preisbereinigt, Kettenindex (2015=100);Bruttowertsch�pfung;jew. ME;101.4;101.94;102.29;102.55;103.76;104.71;105.86;106.65;106.18;106.62;106.24;106.64;107.89;107.19;107.52;107.44;106.07;94.49;103.25;103.64;102.67;104.32;106.68;105.34;106.13;...;...;...
preisbereinigt, Kettenindex (2015=100);G�tersteuern abz�gl. G�tersubventionen;jew. ME;102.09;101.44;101.79;102.64;104.26;103.81;102.66;104.05;103.68;105.61;104.54;105.03;104.98;105.99;107.41;107.33;100.74;99.52;106.57;110.79;101.61;109.54;105.29;114.46;109.39;...;...;...
preisbereinigt, Kettenindex (2015=100);     G�tersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
preisbereinigt, Kettenindex (2015=100);     G�tersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
preisbereinigt, Kettenindex (2015=100);Bruttoinlandsprodukt;jew. ME;101.47;101.89;102.24;102.56;103.81;104.62;105.54;106.39;105.93;106.52;106.07;106.48;107.6;107.07;107.51;107.43;105.54;94.99;103.58;104.35;102.59;104.82;106.57;106.2;106.45;...;...;...
preisbereinigt, Kettenindex (2015=100);nachr.: Bruttoinlandsprodukt (Ver�nderung in %);Prozent;0.8;0.4;0.3;0.3;1.2;0.8;0.9;0.8;-0.4;0.6;-0.4;0.4;1.1;-0.5;0.4;-0.1;-1.8;-10;9;0.7;-1.7;2.2;1.7;-0.3;0.2;...;...;...
preisbereinigt, Kettenindex (2015=100);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;100.81;101.1;101.37;101.58;102.72;103.41;104.25;105.04;104.48;105;104.47;104.79;105.84;105.28;105.67;105.54;103.64;93.32;101.75;102.49;100.77;102.95;104.62;104.2;104.47;...;...;...
preisbereinigt, verkettete Volumenang. (Mrd. EUR);Bruttowertsch�pfung;jew. ME;690032;693707;696089;697858;706058;712523;720348;725724;722543;725537;722952;725673;734214;729.45;731696;731152;721794;642993;702604;705258;698641;709869;725928;716.81;722185;...;...;...
preisbereinigt, verkettete Volumenang. (Mrd. EUR);G�tersteuern abz�gl. G�tersubventionen;jew. ME;77633;77139;77405;78051;79314;78971;78097;79154;78857;80325;79511;79884;79831;80599;81678;81618;76601;75673;81034;84243;77298;83331;80098;87074;83217;...;...;...
preisbereinigt, verkettete Volumenang. (Mrd. EUR);     G�tersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
preisbereinigt, verkettete Volumenang. (Mrd. EUR);     G�tersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
preisbereinigt, verkettete Volumenang. (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;767666;770844;773492;775913;785369;791497;798458;804888;801408;805872;802467;805569;814061;810052;813.38;812775;798438;718624;783.61;789435;776.14;793.01;806.25;803451;805342;...;...;...
preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Ver�nderung in %);Prozent;0.8;0.4;0.3;0.3;1.2;0.8;0.9;0.8;-0.4;0.6;-0.4;0.4;1.1;-0.5;0.4;-0.1;-1.8;-10;9;0.7;-1.7;2.2;1.7;-0.3;0.2;...;...;...
preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttowertsch�pfung;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
preisbereinigt, unverkettete Volumenang.(Mrd. EUR);G�tersteuern abz�gl. G�tersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
preisbereinigt, unverkettete Volumenang.(Mrd. EUR);     G�tersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
preisbereinigt, unverkettete Volumenang.(Mrd. EUR);     G�tersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttoinlandsprodukt;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt (Ver�nderung in %);Prozent;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
preisbereinigt, unverkettete Volumenang.(Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
